Match Number,Round Number,Date,Location,Home Team,Away Team,Result
105,11,06/11/2023 17:30,Benito Stirpe,Frosinone,Empoli,2 - 1
109,11,06/11/2023 19:45,Olimpico Grande Torino,Torino,Sassuolo,2 - 1
120,12,10/11/2023 17:30,Mapei Stadium - Città del Tricolore,Sassuolo,Salernitana,2 - 2
113,12,10/11/2023 19:45,Luigi Ferraris,Genoa,Verona,1 - 0
117,12,11/11/2023 14:00,Ettore Giardiniero - Via del mare,Lecce,AC Milan,2 - 2
115,12,11/11/2023 17:00,Juventus Stadium,Juventus,Cagliari,2 - 1
118,12,11/11/2023 19:45,Brianteo,Monza,Torino,1 - 1
119,12,12/11/2023 11:30,Diego Armando Maradona,Napoli,Empoli,0 - 1
111,12,12/11/2023 14:00,Friuli,Udinese,Atalanta,1 - 1
112,12,12/11/2023 14:00,Artemio Franchi,Fiorentina,Bologna,2 - 1
116,12,12/11/2023 17:00,Olimpico,Lazio,Roma,0 - 0
114,12,12/11/2023 19:45,San Siro,Inter,Frosinone,2 - 0
129,13,25/11/2023 14:00,Arechi,Salernitana,Lazio,
121,13,25/11/2023 17:00,Atleti Azzurri d'Italia,Atalanta,Napoli,
127,13,25/11/2023 19:45,San Siro,AC Milan,Fiorentina,
123,13,26/11/2023 11:30,Unipol Domus,Cagliari,Monza,
124,13,26/11/2023 14:00,Carlo Castellani,Empoli,Sassuolo,
125,13,26/11/2023 14:00,Benito Stirpe,Frosinone,Genoa,
128,13,26/11/2023 17:00,Olimpico,Roma,Udinese,
126,13,26/11/2023 19:45,Juventus Stadium,Juventus,Inter,
130,13,27/11/2023 17:30,Marcantonio Bentegodi,Verona,Lecce,
122,13,27/11/2023 19:45,Renato Dall'Ara,Bologna,Torino,
136,14,01/12/2023 19:45,Brianteo,Monza,Juventus,
132,14,02/12/2023 14:00,Luigi Ferraris,Genoa,Empoli,
133,14,02/12/2023 14:00,Olimpico,Lazio,Cagliari,
135,14,02/12/2023 19:45,San Siro,AC Milan,Frosinone,
134,14,03/12/2023 11:30,Ettore Giardiniero - Via del mare,Lecce,Bologna,
131,14,03/12/2023 14:00,Artemio Franchi,Fiorentina,Salernitana,
140,14,03/12/2023 14:00,Friuli,Udinese,Verona,
138,14,03/12/2023 17:00,Mapei Stadium - Città del Tricolore,Sassuolo,Roma,
137,14,03/12/2023 19:45,Diego Armando Maradona,Napoli,Inter,
139,14,04/12/2023 19:45,Olimpico Grande Torino,Torino,Atalanta,
146,15,08/12/2023 19:45,Juventus Stadium,Juventus,Napoli,
150,15,09/12/2023 14:00,Marcantonio Bentegodi,Verona,Lazio,
141,15,09/12/2023 17:00,Atleti Azzurri d'Italia,Atalanta,AC Milan,
145,15,09/12/2023 19:45,San Siro,Inter,Udinese,
144,15,10/12/2023 11:30,Benito Stirpe,Frosinone,Torino,
147,15,10/12/2023 14:00,Brianteo,Monza,Genoa,
149,15,10/12/2023 17:00,Arechi,Salernitana,Bologna,
148,15,10/12/2023 19:45,Olimpico,Roma,Fiorentina,
143,15,11/12/2023 17:30,Carlo Castellani,Empoli,Lecce,
142,15,11/12/2023 19:45,Unipol Domus,Cagliari,Sassuolo,
154,16,15/12/2023 19:45,Luigi Ferraris,Genoa,Juventus,
156,16,16/12/2023 14:00,Ettore Giardiniero - Via del mare,Lecce,Frosinone,
158,16,16/12/2023 17:00,Diego Armando Maradona,Napoli,Cagliari,
159,16,16/12/2023 19:45,Olimpico Grande Torino,Torino,Empoli,
157,16,17/12/2023 11:30,San Siro,AC Milan,Monza,
153,16,17/12/2023 14:00,Artemio Franchi,Fiorentina,Verona,
160,16,17/12/2023 14:00,Friuli,Udinese,Sassuolo,
152,16,17/12/2023 17:00,Renato Dall'Ara,Bologna,Roma,
155,16,17/12/2023 19:45,Olimpico,Lazio,Inter,
151,16,18/12/2023 19:45,Atleti Azzurri d'Italia,Atalanta,Salernitana,
166,17,22/12/2023 17:30,Mapei Stadium - Città del Tricolore,Sassuolo,Genoa,
170,17,22/12/2023 17:30,Carlo Castellani,Empoli,Lazio,
163,17,22/12/2023 19:45,Brianteo,Monza,Fiorentina,
165,17,22/12/2023 19:45,Arechi,Salernitana,AC Milan,
161,17,23/12/2023 11:30,Benito Stirpe,Frosinone,Juventus,
167,17,23/12/2023 14:00,Olimpico Grande Torino,Torino,Udinese,
169,17,23/12/2023 14:00,Renato Dall'Ara,Bologna,Atalanta,
162,17,23/12/2023 17:00,San Siro,Inter,Lecce,
168,17,23/12/2023 17:00,Marcantonio Bentegodi,Verona,Cagliari,
164,17,23/12/2023 19:45,Olimpico,Roma,Napoli,
173,18,29/12/2023 17:30,Artemio Franchi,Fiorentina,Torino,
178,18,29/12/2023 17:30,Diego Armando Maradona,Napoli,Monza,
174,18,29/12/2023 19:45,Luigi Ferraris,Genoa,Inter,
176,18,29/12/2023 19:45,Olimpico,Lazio,Frosinone,
171,18,30/12/2023 11:30,Atleti Azzurri d'Italia,Atalanta,Lecce,
172,18,30/12/2023 14:00,Unipol Domus,Cagliari,Empoli,
179,18,30/12/2023 14:00,Friuli,Udinese,Bologna,
177,18,30/12/2023 17:00,San Siro,AC Milan,Sassuolo,
180,18,30/12/2023 17:00,Marcantonio Bentegodi,Verona,Salernitana,
175,18,30/12/2023 19:45,Juventus Stadium,Juventus,Roma,
185,19,06/01/2024 14:00,Ettore Giardiniero - Via del mare,Lecce,Cagliari,
182,19,06/01/2024 17:00,Carlo Castellani,Empoli,AC Milan,
181,19,06/01/2024 19:45,Renato Dall'Ara,Bologna,Genoa,
184,19,06/01/2024 23:00,San Siro,Inter,Verona,
188,19,06/01/2024 23:00,Mapei Stadium - Città del Tricolore,Sassuolo,Fiorentina,
189,19,06/01/2024 23:00,Olimpico Grande Torino,Torino,Napoli,
190,19,06/01/2024 23:00,Friuli,Udinese,Lazio,
183,19,07/01/2024 14:00,Benito Stirpe,Frosinone,Monza,
186,19,07/01/2024 17:00,Olimpico,Roma,Atalanta,
187,19,07/01/2024 19:45,Arechi,Salernitana,Juventus,
191,20,13/01/2024 23:00,Atleti Azzurri d'Italia,Atalanta,Frosinone,
192,20,13/01/2024 23:00,Unipol Domus,Cagliari,Bologna,
193,20,13/01/2024 23:00,Artemio Franchi,Fiorentina,Udinese,
194,20,13/01/2024 23:00,Luigi Ferraris,Genoa,Torino,
195,20,13/01/2024 23:00,Juventus Stadium,Juventus,Sassuolo,
196,20,13/01/2024 23:00,Olimpico,Lazio,Lecce,
197,20,13/01/2024 23:00,San Siro,AC Milan,Roma,
198,20,13/01/2024 23:00,Brianteo,Monza,Inter,
199,20,13/01/2024 23:00,Diego Armando Maradona,Napoli,Salernitana,
200,20,13/01/2024 23:00,Marcantonio Bentegodi,Verona,Empoli,
201,21,20/01/2024 23:00,Olimpico,Roma,Verona,
202,21,20/01/2024 23:00,Arechi,Salernitana,Genoa,
203,21,20/01/2024 23:00,Mapei Stadium - Città del Tricolore,Sassuolo,Napoli,
204,21,20/01/2024 23:00,Olimpico Grande Torino,Torino,Lazio,
205,21,20/01/2024 23:00,Friuli,Udinese,AC Milan,
206,21,20/01/2024 23:00,Renato Dall'Ara,Bologna,Fiorentina,
207,21,20/01/2024 23:00,Carlo Castellani,Empoli,Monza,
208,21,20/01/2024 23:00,Benito Stirpe,Frosinone,Cagliari,
209,21,20/01/2024 23:00,San Siro,Inter,Atalanta,
210,21,20/01/2024 23:00,Ettore Giardiniero - Via del mare,Lecce,Juventus,
211,22,27/01/2024 23:00,Atleti Azzurri d'Italia,Atalanta,Udinese,
212,22,27/01/2024 23:00,Unipol Domus,Cagliari,Torino,
213,22,27/01/2024 23:00,Artemio Franchi,Fiorentina,Inter,
214,22,27/01/2024 23:00,Luigi Ferraris,Genoa,Lecce,
215,22,27/01/2024 23:00,Juventus Stadium,Juventus,Empoli,
216,22,27/01/2024 23:00,Olimpico,Lazio,Napoli,
217,22,27/01/2024 23:00,San Siro,AC Milan,Bologna,
218,22,27/01/2024 23:00,Brianteo,Monza,Sassuolo,
219,22,27/01/2024 23:00,Arechi,Salernitana,Roma,
220,22,27/01/2024 23:00,Marcantonio Bentegodi,Verona,Frosinone,
221,23,03/02/2024 23:00,Atleti Azzurri d'Italia,Atalanta,Lazio,
222,23,03/02/2024 23:00,Renato Dall'Ara,Bologna,Sassuolo,
223,23,03/02/2024 23:00,Carlo Castellani,Empoli,Genoa,
224,23,03/02/2024 23:00,Benito Stirpe,Frosinone,AC Milan,
225,23,03/02/2024 23:00,San Siro,Inter,Juventus,
226,23,03/02/2024 23:00,Ettore Giardiniero - Via del mare,Lecce,Fiorentina,
227,23,03/02/2024 23:00,Diego Armando Maradona,Napoli,Verona,
228,23,03/02/2024 23:00,Olimpico,Roma,Cagliari,
229,23,03/02/2024 23:00,Olimpico Grande Torino,Torino,Salernitana,
230,23,03/02/2024 23:00,Friuli,Udinese,Monza,
231,24,10/02/2024 23:00,Renato Dall'Ara,Bologna,Lecce,
232,24,10/02/2024 23:00,Unipol Domus,Cagliari,Lazio,
233,24,10/02/2024 23:00,Artemio Franchi,Fiorentina,Frosinone,
