Match Number,Round Number,Date,Location,Home Team,Away Team,Result
94,11,11/11/2023 17:30,Vonovia Ruhrstadion,Bochum,FC Cologne,1 - 1
97,11,12/11/2023 14:30,BayArena,Bayer Leverkusen,Union Berlin,4 - 0
95,11,12/11/2023 16:30,wohninvest WESERSTADION,Werder Bremen,Eintracht Frankfurt,2 - 2
98,11,12/11/2023 18:30,Red Bull Arena,RasenBallsport Leipzig,Freiburg,3 - 1
103,12,24/11/2023 19:30,RheinEnergieSTADION,FC Cologne,Bayern Munich,
101,12,25/11/2023 14:30,wohninvest WESERSTADION,Werder Bremen,Bayer Leverkusen,
104,12,25/11/2023 14:30,Volkswagen Arena,Wolfsburg,RasenBallsport Leipzig,
106,12,25/11/2023 14:30,Europa-Park Stadion,Freiburg,Darmstadt,
107,12,25/11/2023 14:30,An der Alten Försterei,Union Berlin,Augsburg,
108,12,25/11/2023 14:30,SIGNAL IDUNA PARK,Borussia Dortmund,Borussia M.Gladbach,
105,12,25/11/2023 17:30,Deutsche Bank Park,Eintracht Frankfurt,VfB Stuttgart,
100,12,26/11/2023 14:30,Voith-Arena,FC Heidenheim,Bochum,
102,12,26/11/2023 16:30,PreZero Arena,Hoffenheim,Mainz 05,
109,13,01/12/2023 19:30,Merck-Stadion am Böllenfalltor,Darmstadt,FC Cologne,
112,13,02/12/2023 14:30,Vonovia Ruhrstadion,Bochum,Wolfsburg,
113,13,02/12/2023 14:30,BORUSSIA-PARK,Borussia M.Gladbach,Hoffenheim,
116,13,02/12/2023 14:30,Red Bull Arena,RasenBallsport Leipzig,FC Heidenheim,
117,13,02/12/2023 14:30,Allianz Arena,Bayern Munich,Union Berlin,
110,13,02/12/2023 17:30,Mercedes-Benz Arena,VfB Stuttgart,Werder Bremen,
114,13,03/12/2023 14:30,MEWA ARENA,Mainz 05,Freiburg,
115,13,03/12/2023 16:30,BayArena,Bayer Leverkusen,Borussia Dortmund,
111,13,03/12/2023 18:30,WWK ARENA,Augsburg,Eintracht Frankfurt,
118,14,09/12/2023 14:30,Voith-Arena,FC Heidenheim,Darmstadt,
119,14,09/12/2023 14:30,Mercedes-Benz Arena,VfB Stuttgart,Bayer Leverkusen,
120,14,09/12/2023 14:30,wohninvest WESERSTADION,Werder Bremen,Augsburg,
121,14,09/12/2023 14:30,PreZero Arena,Hoffenheim,Bochum,
122,14,09/12/2023 14:30,RheinEnergieSTADION,FC Cologne,Mainz 05,
123,14,09/12/2023 14:30,Volkswagen Arena,Wolfsburg,Freiburg,
124,14,09/12/2023 14:30,Deutsche Bank Park,Eintracht Frankfurt,Bayern Munich,
125,14,09/12/2023 14:30,An der Alten Försterei,Union Berlin,Borussia M.Gladbach,
